"spce_id","examin_realm_se_code_nm","spcs_lcnm","spcs_scncenm","examin_year","examin_begin_de","examin_end_de","geom"
"007000000000620930",양서파충류,참개구리,"Pelophylax nigromaculatus (Hallowell, 1861)","2014",,,POINT (251870.6035000002 589307.9743000008)
"007000000000620932",양서파충류,청개구리,"Hyla japonica G?nther, 1859","2014",,,POINT (251870.6035000002 589307.9743000008)
"007000000000620933",양서파충류,북방산개구리,"Rana dybowskii G?nther, 1876","2014",,,POINT (251870.6035000002 589307.9743000008)
"007000000000620934",양서파충류,무당개구리,"Bombina orientalis (Boulenger, 1890)","2014",,,POINT (251870.6035000002 589307.9743000008)
"007000000000620935",양서파충류,도롱뇽,"Hynobius leechii Boulenger, 1887","2014",,,POINT (251870.6035000002 589307.9743000008)
"007000000000620937",양서파충류,참개구리,"Pelophylax nigromaculatus (Hallowell, 1861)","2014",,,POINT (258203.19900000002 589325.8221000005)
"007000000000620939",양서파충류,북방산개구리,"Rana dybowskii G?nther, 1876","2014",,,POINT (258203.19900000002 589325.8221000005)
"007000000000620940",양서파충류,청개구리,"Hyla japonica G?nther, 1859","2014",,,POINT (258203.19900000002 589325.8221000005)
"007000000000620941",양서파충류,도마뱀,"Scincella vandenburghi (Schmidt, 1927)","2014",,,POINT (258203.19900000002 589325.8221000005)
"007000000000620943",양서파충류,유혈목이,"Rhabdophis tigrinus (Boie, 1826)","2014",,,POINT (258203.19900000002 589325.8221000005)
"007000000000620945",양서파충류,참개구리,"Pelophylax nigromaculatus (Hallowell, 1861)","2014",,,POINT (250212.71619999968 589532.0901999995)
"007000000000620946",양서파충류,북방산개구리,"Rana dybowskii G?nther, 1876","2014",,,POINT (250212.71619999968 589532.0901999995)
"007000000000620948",양서파충류,청개구리,"Hyla japonica G?nther, 1859","2014",,,POINT (250212.71619999968 589532.0901999995)
"007000000000620949",양서파충류,무당개구리,"Bombina orientalis (Boulenger, 1890)","2014",,,POINT (250212.71619999968 589532.0901999995)
"007000000000620950",양서파충류,도롱뇽,"Hynobius leechii Boulenger, 1887","2014",,,POINT (250212.71619999968 589532.0901999995)
"007000000000620953",양서파충류,참개구리,"Pelophylax nigromaculatus (Hallowell, 1861)","2014",,,POINT (261022.17360000033 590696.8815000001)
"007000000000620955",양서파충류,북방산개구리,"Rana dybowskii G?nther, 1876","2014",,,POINT (261022.17360000033 590696.8815000001)
"007000000000620957",양서파충류,무당개구리,"Bombina orientalis (Boulenger, 1890)","2014",,,POINT (261022.17360000033 590696.8815000001)
"007000000000620958",양서파충류,청개구리,"Hyla japonica G?nther, 1859","2014",,,POINT (261022.17360000033 590696.8815000001)
"007000000000620959",양서파충류,유혈목이,"Rhabdophis tigrinus (Boie, 1826)","2014",,,POINT (261022.17360000033 590696.8815000001)
